flow_src_ip,flow_dst_ip,flow_src_port,flow_dst_port,protocol,flow_bucket,flow_duration,total_fwd_packets,total_bwd_packets,packet_len_mean,packet_len_min,packet_len_max,packet_len_std,total_bytes_fwd,total_bytes_bwd,bytes_per_sec,packets_per_sec,flow_iat_mean,flow_iat_min,flow_iat_max,flow_iat_std,fwd_bwd_ratio,syn_flag_count,label
10.0.0.1,10.0.0.2,0,0,ICMP,3530775993,6.91E-05,1,1,98,98,98,0,98,98,22678167.83,28926.23448,6.91E-05,6.91E-05,6.91E-05,0,1,0,normal
10.0.0.1,10.0.0.2,0,0,ICMP,3530775995,6.10E-05,1,1,98,98,98,0,98,98,25690112,32768,6.10E-05,6.10E-05,6.10E-05,0,1,0,normal
10.0.0.1,10.0.0.2,0,0,ICMP,3530775997,6.79E-05,1,1,98,98,98,0,98,98,23076030.43,29433.71228,6.79E-05,6.79E-05,6.79E-05,0,1,0,normal
10.0.0.1,10.0.0.2,0,0,ICMP,3530775999,8.20E-05,1,1,98,98,98,0,98,98,19118222.88,24385.48837,8.20E-05,8.20E-05,8.20E-05,0,1,0,normal
10.0.0.1,10.0.0.2,0,0,ICMP,3530776001,7.20E-05,1,1,98,98,98,0,98,98,21777048.58,27776.84768,7.20E-05,7.20E-05,7.20E-05,0,1,0,normal
10.0.0.1,10.0.0.2,0,0,ICMP,3530776003,6.89E-05,1,1,98,98,98,0,98,98,22756639,29026.32526,6.89E-05,6.89E-05,6.89E-05,0,1,0,normal
10.0.0.1,10.0.0.2,0,0,ICMP,3530776005,7.70E-05,1,1,98,98,98,0,98,98,20361203.32,25970.9226,7.70E-05,7.70E-05,7.70E-05,0,1,0,normal
10.0.0.1,10.0.0.2,0,0,ICMP,3530776007,8.39E-05,1,1,98,98,98,0,98,98,18683717.82,23831.27273,8.39E-05,8.39E-05,8.39E-05,0,1,0,normal
10.0.0.1,10.0.0.2,0,0,ICMP,3530776009,7.01E-05,1,1,98,98,98,0,98,98,22369621.33,28532.68027,7.01E-05,7.01E-05,7.01E-05,0,1,0,normal
10.0.0.1,10.0.0.2,0,0,ICMP,3530776011,6.70E-05,1,1,98,98,98,0,98,98,23404514.85,29852.69751,6.70E-05,6.70E-05,6.70E-05,0,1,0,normal
10.0.0.1,10.0.0.2,0,0,ICMP,3530776013,7.01E-05,1,1,98,98,98,0,98,98,22369621.33,28532.68027,7.01E-05,7.01E-05,7.01E-05,0,1,0,normal
10.0.0.1,10.0.0.2,0,0,ICMP,3530776015,8.20E-05,1,1,98,98,98,0,98,98,19118222.88,24385.48837,8.20E-05,8.20E-05,8.20E-05,0,1,0,normal
10.0.0.1,10.0.0.2,0,0,ICMP,3530776017,6.79E-05,1,1,98,98,98,0,98,98,23076030.43,29433.71228,6.79E-05,6.79E-05,6.79E-05,0,1,0,normal
10.0.0.1,10.0.0.2,0,0,ICMP,3530776019,6.29E-05,1,1,98,98,98,0,98,98,24911623.76,31775.0303,6.29E-05,6.29E-05,6.29E-05,0,1,0,normal
10.0.0.1,10.0.0.2,0,0,ICMP,3530776022,7.30E-05,1,1,98,98,98,0,98,98,21492381.28,27413.75163,7.30E-05,7.30E-05,7.30E-05,0,1,0,normal
10.0.0.1,10.0.0.2,0,0,ICMP,3530776024,6.70E-05,1,1,98,98,98,0,98,98,23404514.85,29852.69751,6.70E-05,6.70E-05,6.70E-05,0,1,0,normal
10.0.0.1,10.0.0.2,0,0,ICMP,3530776026,8.11E-05,1,1,98,98,98,0,98,98,19343143.15,24672.37647,8.11E-05,8.11E-05,8.11E-05,0,1,0,normal
10.0.0.1,10.0.0.2,0,0,ICMP,3530776028,6.91E-05,1,1,98,98,98,0,98,98,22678167.83,28926.23448,6.91E-05,6.91E-05,6.91E-05,0,1,0,normal
10.0.0.1,10.0.0.2,0,0,ICMP,3530776030,6.91E-05,1,1,98,98,98,0,98,98,22678167.83,28926.23448,6.91E-05,6.91E-05,6.91E-05,0,1,0,normal
10.0.0.1,10.0.0.2,0,0,ICMP,3530776032,6.70E-05,1,1,98,98,98,0,98,98,23404514.85,29852.69751,6.70E-05,6.70E-05,6.70E-05,0,1,0,normal
10.0.0.1,10.0.0.2,0,0,ICMP,3530776034,7.20E-05,1,1,98,98,98,0,98,98,21777048.58,27776.84768,7.20E-05,7.20E-05,7.20E-05,0,1,0,normal
10.0.0.1,10.0.0.2,0,0,ICMP,3530776036,6.70E-05,1,1,98,98,98,0,98,98,23404514.85,29852.69751,6.70E-05,6.70E-05,6.70E-05,0,1,0,normal
10.0.0.1,10.0.0.2,0,0,ICMP,3530776038,6.60E-05,1,1,98,98,98,0,98,98,23742486.18,30283.78339,6.60E-05,6.60E-05,6.60E-05,0,1,0,normal
10.0.0.1,10.0.0.2,0,0,ICMP,3530776040,7.30E-05,1,1,98,98,98,0,98,98,21492381.28,27413.75163,7.30E-05,7.30E-05,7.30E-05,0,1,0,normal
10.0.0.1,10.0.0.2,0,0,ICMP,3530776042,6.89E-05,1,1,98,98,98,0,98,98,22756639,29026.32526,6.89E-05,6.89E-05,6.89E-05,0,1,0,normal
10.0.0.1,10.0.0.2,0,0,ICMP,3530776044,6.79E-05,1,1,98,98,98,0,98,98,23076030.43,29433.71228,6.79E-05,6.79E-05,6.79E-05,0,1,0,normal
10.0.0.1,10.0.0.2,0,0,ICMP,3530776046,5.91E-05,1,1,98,98,98,0,98,98,26518825.29,33825.03226,5.91E-05,5.91E-05,5.91E-05,0,1,0,normal
10.0.0.1,10.0.0.2,0,0,ICMP,3530776048,6.89E-05,1,1,98,98,98,0,98,98,22756639,29026.32526,6.89E-05,6.89E-05,6.89E-05,0,1,0,normal
10.0.0.1,10.0.0.2,0,0,ICMP,3530776050,6.20E-05,1,1,98,98,98,0,98,98,25294879.51,32263.87692,6.20E-05,6.20E-05,6.20E-05,0,1,0,normal
10.0.0.1,10.0.0.2,0,0,ICMP,3530776052,8.39E-05,1,1,98,98,98,0,98,98,18683717.82,23831.27273,8.39E-05,8.39E-05,8.39E-05,0,1,0,normal
10.0.0.1,10.0.0.2,0,0,ICMP,3530776054,6.89E-05,1,1,98,98,98,0,98,98,22756639,29026.32526,6.89E-05,6.89E-05,6.89E-05,0,1,0,normal
10.0.0.1,10.0.0.2,0,0,ICMP,3530776056,7.08E-05,1,1,98,98,98,0,98,98,22143665.56,28244.47138,7.08E-05,7.08E-05,7.08E-05,0,1,0,normal
10.0.0.1,10.0.0.2,0,0,ICMP,3530776058,5.60E-05,1,1,98,98,98,0,98,98,27985824.14,35696.20426,5.60E-05,5.60E-05,5.60E-05,0,1,0,normal
10.0.0.1,10.0.0.2,0,0,ICMP,3530776060,6.41E-05,1,1,98,98,98,0,98,98,24448582.42,31184.41636,6.41E-05,6.41E-05,6.41E-05,0,1,0,normal
10.0.0.1,10.0.0.2,0,0,ICMP,3530776062,7.20E-05,1,1,98,98,98,0,98,98,21777048.58,27776.84768,7.20E-05,7.20E-05,7.20E-05,0,1,0,normal
10.0.0.1,10.0.0.2,0,0,ICMP,3530776065,7.39E-05,1,1,98,98,98,0,98,98,21215060.23,27060.02581,7.39E-05,7.39E-05,7.39E-05,0,1,0,normal
10.0.0.1,10.0.0.2,0,0,ICMP,3530776067,7.20E-05,1,1,98,98,98,0,98,98,21777048.58,27776.84768,7.20E-05,7.20E-05,7.20E-05,0,1,0,normal
10.0.0.1,10.0.0.2,0,0,ICMP,3530776069,4.01E-05,1,1,98,98,98,0,98,98,39146837.33,49932.19048,4.01E-05,4.01E-05,4.01E-05,0,1,0,normal
10.0.0.1,10.0.0.2,0,0,ICMP,3530776071,7.10E-05,1,1,98,98,98,0,98,98,22069357.96,28149.69128,7.10E-05,7.10E-05,7.10E-05,0,1,0,normal
10.0.0.1,10.0.0.2,0,0,ICMP,3530776073,7.08E-05,1,1,98,98,98,0,98,98,22143665.56,28244.47138,7.08E-05,7.08E-05,7.08E-05,0,1,0,normal
10.0.0.1,10.0.0.2,0,0,ICMP,3530776075,6.89E-05,1,1,98,98,98,0,98,98,22756639,29026.32526,6.89E-05,6.89E-05,6.89E-05,0,1,0,normal
10.0.0.1,10.0.0.2,0,0,ICMP,3530776077,6.91E-05,1,1,98,98,98,0,98,98,22678167.83,28926.23448,6.91E-05,6.91E-05,6.91E-05,0,1,0,normal
10.0.0.1,10.0.0.2,0,0,ICMP,3530776079,8.08E-05,1,1,98,98,98,0,98,98,19400202.57,24745.15634,8.08E-05,8.08E-05,8.08E-05,0,1,0,normal
10.0.0.1,10.0.0.2,0,0,ICMP,3530776081,6.99E-05,1,1,98,98,98,0,98,98,22445968.16,28630.06143,6.99E-05,6.99E-05,6.99E-05,0,1,0,normal
10.0.0.1,10.0.0.2,0,0,ICMP,3530776083,7.70E-05,1,1,98,98,98,0,98,98,20361203.32,25970.9226,7.70E-05,7.70E-05,7.70E-05,0,1,0,normal
10.0.0.1,10.0.0.2,0,0,ICMP,3530776085,6.39E-05,1,1,98,98,98,0,98,98,24539808.48,31300.77612,6.39E-05,6.39E-05,6.39E-05,0,1,0,normal
10.0.0.1,10.0.0.2,0,0,ICMP,3530776087,7.01E-05,1,1,98,98,98,0,98,98,22369621.33,28532.68027,7.01E-05,7.01E-05,7.01E-05,0,1,0,normal
10.0.0.1,10.0.0.2,0,0,ICMP,3530776089,6.48E-05,1,1,98,98,98,0,98,98,24178928.94,30840.47059,6.48E-05,6.48E-05,6.48E-05,0,1,0,normal
10.0.0.1,10.0.0.2,0,0,ICMP,3530776091,6.01E-05,1,1,98,98,98,0,98,98,26097891.56,33288.12698,6.01E-05,6.01E-05,6.01E-05,0,1,0,normal
10.0.0.1,10.0.0.2,0,0,ICMP,3530776093,6.70E-05,1,1,98,98,98,0,98,98,23404514.85,29852.69751,6.70E-05,6.70E-05,6.70E-05,0,1,0,normal
10.0.0.1,10.0.0.2,0,0,ICMP,3530776095,6.60E-05,1,1,98,98,98,0,98,98,23742486.18,30283.78339,6.60E-05,6.60E-05,6.60E-05,0,1,0,normal
10.0.0.1,10.0.0.2,0,0,ICMP,3530776097,6.29E-05,1,1,98,98,98,0,98,98,24911623.76,31775.0303,6.29E-05,6.29E-05,6.29E-05,0,1,0,normal
10.0.0.1,10.0.0.2,0,0,ICMP,3530776099,7.20E-05,1,1,98,98,98,0,98,98,21777048.58,27776.84768,7.20E-05,7.20E-05,7.20E-05,0,1,0,normal
10.0.0.1,10.0.0.2,0,0,ICMP,3530776101,6.60E-05,1,1,98,98,98,0,98,98,23742486.18,30283.78339,6.60E-05,6.60E-05,6.60E-05,0,1,0,normal
10.0.0.1,10.0.0.2,0,0,ICMP,3530776103,7.30E-05,1,1,98,98,98,0,98,98,21492381.28,27413.75163,7.30E-05,7.30E-05,7.30E-05,0,1,0,normal
10.0.0.1,10.0.0.2,0,0,ICMP,3530776106,7.70E-05,1,1,98,98,98,0,98,98,20361203.32,25970.9226,7.70E-05,7.70E-05,7.70E-05,0,1,0,normal
10.0.0.1,10.0.0.2,0,0,ICMP,3530776108,7.10E-05,1,1,98,98,98,0,98,98,22069357.96,28149.69128,7.10E-05,7.10E-05,7.10E-05,0,1,0,normal
10.0.0.1,10.0.0.2,0,0,ICMP,3530776110,6.70E-05,1,1,98,98,98,0,98,98,23404514.85,29852.69751,6.70E-05,6.70E-05,6.70E-05,0,1,0,normal
10.0.0.1,10.0.0.2,0,0,ICMP,3530776112,6.91E-05,1,1,98,98,98,0,98,98,22678167.83,28926.23448,6.91E-05,6.91E-05,6.91E-05,0,1,0,normal
10.0.0.1,10.0.0.2,0,0,ICMP,3530776114,7.58E-05,1,1,98,98,98,0,98,98,20681348.03,26379.27044,7.58E-05,7.58E-05,7.58E-05,0,1,0,normal
10.0.0.1,10.0.0.2,0,0,ICMP,3530776116,7.39E-05,1,1,98,98,98,0,98,98,21215060.23,27060.02581,7.39E-05,7.39E-05,7.39E-05,0,1,0,normal
10.0.0.1,10.0.0.2,0,0,ICMP,3530776118,6.82E-05,1,1,98,98,98,0,98,98,22995345.01,29330.7972,6.82E-05,6.82E-05,6.82E-05,0,1,0,normal
10.0.0.1,10.0.0.2,0,0,ICMP,3530776120,6.89E-05,1,1,98,98,98,0,98,98,22756639,29026.32526,6.89E-05,6.89E-05,6.89E-05,0,1,0,normal
10.0.0.1,10.0.0.2,0,0,ICMP,3530776122,7.99E-05,1,1,98,98,98,0,98,98,19631846.78,25040.6209,7.99E-05,7.99E-05,7.99E-05,0,1,0,normal
10.0.0.1,10.0.0.2,0,0,ICMP,3530776124,6.60E-05,1,1,98,98,98,0,98,98,23742486.18,30283.78339,6.60E-05,6.60E-05,6.60E-05,0,1,0,normal
10.0.0.1,10.0.0.2,0,0,ICMP,3530776126,8.92E-05,1,1,98,98,98,0,98,98,17584675.59,22429.43316,8.92E-05,8.92E-05,8.92E-05,0,1,0,normal
10.0.0.1,10.0.0.2,0,0,ICMP,3530776128,6.70E-05,1,1,98,98,98,0,98,98,23404514.85,29852.69751,6.70E-05,6.70E-05,6.70E-05,0,1,0,normal
10.0.0.1,10.0.0.2,0,0,ICMP,3530776130,7.49E-05,1,1,98,98,98,0,98,98,20944804.69,26715.3121,7.49E-05,7.49E-05,7.49E-05,0,1,0,normal
10.0.0.1,10.0.0.2,0,0,ICMP,3530776132,6.79E-05,1,1,98,98,98,0,98,98,23076030.43,29433.71228,6.79E-05,6.79E-05,6.79E-05,0,1,0,normal
10.0.0.1,10.0.0.2,0,0,ICMP,3530776134,7.01E-05,1,1,98,98,98,0,98,98,22369621.33,28532.68027,7.01E-05,7.01E-05,7.01E-05,0,1,0,normal
10.0.0.1,10.0.0.2,0,0,ICMP,3530776136,6.58E-05,1,1,98,98,98,0,98,98,23828509.68,30393.50725,6.58E-05,6.58E-05,6.58E-05,0,1,0,normal
10.0.0.1,10.0.0.2,0,0,ICMP,3530776138,7.20E-05,1,1,98,98,98,0,98,98,21777048.58,27776.84768,7.20E-05,7.20E-05,7.20E-05,0,1,0,normal
